country_destination,males_0-4,males_10-14,males_100+,males_15-19,males_20-24,males_25-29,males_30-34,males_35-39,males_40-44,males_45-49,males_5-9,males_50-54,males_55-59,males_60-64,males_65-69,males_70-74,males_75-79,males_80-84,males_85-89,males_90-94,males_95-99,females_0-4,females_10-14,females_100+,females_15-19,females_20-24,females_25-29,females_30-34,females_35-39,females_40-44,females_45-49,females_5-9,females_50-54,females_55-59,females_60-64,females_65-69,females_70-74,females_75-79,females_80-84,females_85-89,females_90-94,females_95-99
AU,0.03444384065543619,0.031057977678384818,4.18007774944614e-05,0.03210299711574635,0.034276637545458344,0.03741169585754295,0.03682648497262049,0.03331521966308573,0.034276637545458344,0.032521004890690965,0.032771809555657734,0.032521004890690965,0.029845755131045437,0.026585294486477448,0.02399364628182084,0.01734732266020148,0.012456631693349497,0.008318354721397818,0.0049324917443464445,0.0019646365422396855,0.00037620699745015255,0.03444384065543619,0.031057977678384818,4.18007774944614e-05,0.03210299711574635,0.034276637545458344,0.03741169585754295,0.03682648497262049,0.03331521966308573,0.034276637545458344,0.032521004890690965,0.032771809555657734,0.032521004890690965,0.029845755131045437,0.026585294486477448,0.02399364628182084,0.01734732266020148,0.012456631693349497,0.008318354721397818,0.0049324917443464445,0.0019646365422396855,0.00037620699745015255
CA,0.029132168046611468,0.027403752334755095,2.7877672771877004e-05,0.02938306710155836,0.03353684034456803,0.035488277438599426,0.035181623038108775,0.033146552925761755,0.032867776198042986,0.03434529285495247,0.02818432717236765,0.039028741880627806,0.035878564857405704,0.030498174012433443,0.02548019291349558,0.018120487301720053,0.012433442056257144,0.008865099941456888,0.005101614117253492,0.0018956817484876362,0.00036240974603440104,0.029132168046611468,0.027403752334755095,2.7877672771877004e-05,0.02938306710155836,0.03353684034456803,0.035488277438599426,0.035181623038108775,0.033146552925761755,0.032867776198042986,0.03434529285495247,0.02818432717236765,0.039028741880627806,0.035878564857405704,0.030498174012433443,0.02548019291349558,0.018120487301720053,0.012433442056257144,0.008865099941456888,0.005101614117253492,0.0018956817484876362,0.00036240974603440104
DE,0.02193503064363751,0.022916111528306,3.6336329061795986e-05,0.02514473971076282,0.027446040551343233,0.031406700419078996,0.03181851214844602,0.02965044451442552,0.031891184806569606,0.04269518664761028,0.02157166735301955,0.043773164409776896,0.036130423197112474,0.03118868244470822,0.02426055570359245,0.025423318233569924,0.023400595915796612,0.012305903442261573,0.006261960708316174,0.0018652648918388605,0.00020590586468351057,0.02193503064363751,0.022916111528306,3.6336329061795986e-05,0.02514473971076282,0.027446040551343233,0.031406700419078996,0.03181851214844602,0.02965044451442552,0.031891184806569606,0.04269518664761028,0.02157166735301955,0.043773164409776896,0.036130423197112474,0.03118868244470822,0.02426055570359245,0.025423318233569924,0.023400595915796612,0.012305903442261573,0.006261960708316174,0.0018652648918388605,0.00020590586468351057
ES,0.026947439781369827,0.025189076965447112,6.355528250323073e-05,0.023028197360337267,0.0248924856470987,0.028536321843950597,0.03703154460521577,0.04484884435311315,0.04347181323220982,0.040442344766222486,0.027688918077240852,0.036586657627693156,0.031332754274092746,0.026163591297163315,0.02370612037370506,0.018642882867614348,0.01457534478740758,0.011842467639768659,0.0064826388153295346,0.0023727305467872804,0.00046607207169035867,0.026947439781369827,0.025189076965447112,6.355528250323073e-05,0.023028197360337267,0.0248924856470987,0.028536321843950597,0.03703154460521577,0.04484884435311315,0.04347181323220982,0.040442344766222486,0.027688918077240852,0.036586657627693156,0.031332754274092746,0.026163591297163315,0.02370612037370506,0.018642882867614348,0.01457534478740758,0.011842467639768659,0.0064826388153295346,0.0023727305467872804,0.00046607207169035867
FR,0.031315882615453275,0.030546450610159582,4.616592031762153e-05,0.03102349845344167,0.03139282581598264,0.03202376006032347,0.031315882615453275,0.028345875075019622,0.034039671914192944,0.033762676392287215,0.030654171090900698,0.03267008294477017,0.029838573165289383,0.02909991844020744,0.027391779388455443,0.01697367003677885,0.01412677161719219,0.010956711755382176,0.006232399242878907,0.0025237369773633105,0.00030777280211747687,0.031315882615453275,0.030546450610159582,4.616592031762153e-05,0.03102349845344167,0.03139282581598264,0.03202376006032347,0.031315882615453275,0.028345875075019622,0.034039671914192944,0.033762676392287215,0.030654171090900698,0.03267008294477017,0.029838573165289383,0.02909991844020744,0.027391779388455443,0.01697367003677885,0.01412677161719219,0.010956711755382176,0.006232399242878907,0.0025237369773633105,0.00030777280211747687
GB,0.031030701754385964,0.027741228070175438,4.699248120300752e-05,0.02919799498746867,0.032283834586466165,0.034664786967418544,0.03430451127819549,0.03099937343358396,0.032910401002506265,0.036043233082706766,0.03143796992481203,0.03477443609022556,0.030153508771929825,0.026519423558897245,0.02717731829573935,0.01994047619047619,0.015319548872180452,0.010354010025062657,0.0057174185463659145,0.0022713032581453633,0.0004542606516290727,0.031030701754385964,0.027741228070175438,4.699248120300752e-05,0.02919799498746867,0.032283834586466165,0.034664786967418544,0.03430451127819549,0.03099937343358396,0.032910401002506265,0.036043233082706766,0.03143796992481203,0.03477443609022556,0.030153508771929825,0.026519423558897245,0.02717731829573935,0.01994047619047619,0.015319548872180452,0.010354010025062657,0.0057174185463659145,0.0022713032581453633,0.0004542606516290727
IT,0.024008504374846674,0.024008504374846674,4.906370103851501e-05,0.024417368550167635,0.026183661787554175,0.027361190612478534,0.02966718456128874,0.034622618366178755,0.03970888870717148,0.040493907923787716,0.024090277209910867,0.037975304603810614,0.03231662441736855,0.02860413770545425,0.02806443699403058,0.02188241066317769,0.019478289312290457,0.013214490146373374,0.007196009485648867,0.002682148990105487,0.00035980047428244336,0.024008504374846674,0.024008504374846674,4.906370103851501e-05,0.024417368550167635,0.026183661787554175,0.027361190612478534,0.02966718456128874,0.034622618366178755,0.03970888870717148,0.040493907923787716,0.024090277209910867,0.037975304603810614,0.03231662441736855,0.02860413770545425,0.02806443699403058,0.02188241066317769,0.019478289312290457,0.013214490146373374,0.007196009485648867,0.002682148990105487,0.00035980047428244336
NL,0.027421652421652423,0.03068613485280152,0.0,0.03027065527065527,0.03127967711301045,0.03074548907882241,0.029855175688509022,0.029083570750237417,0.03454415954415954,0.038580246913580245,0.028074548907882243,0.038342830009496676,0.034484805318138655,0.031042260208926874,0.03074548907882241,0.020833333333333332,0.0146011396011396,0.009377967711301045,0.004629629629629629,0.0014838556505223173,0.00023741690408357076,0.027421652421652423,0.03068613485280152,0.0,0.03027065527065527,0.03127967711301045,0.03074548907882241,0.029855175688509022,0.029083570750237417,0.03454415954415954,0.038580246913580245,0.028074548907882243,0.038342830009496676,0.034484805318138655,0.031042260208926874,0.03074548907882241,0.020833333333333332,0.0146011396011396,0.009377967711301045,0.004629629629629629,0.0014838556505223173,0.00023741690408357076
PT,0.02252804222829673,0.026863983410312,0.0,0.026109906683004995,0.026863983410312,0.02912621359223301,0.03497030822886229,0.03949476859270431,0.03921198981996418,0.03638420209256292,0.024884532001131113,0.035630125365255914,0.03233103968328777,0.029031954001319634,0.02516731077387124,0.020171552455462344,0.016683947591667452,0.011499670091431803,0.005561315863889151,0.0017909322273541332,0.0002827787727401263,0.02252804222829673,0.026863983410312,0.0,0.026109906683004995,0.026863983410312,0.02912621359223301,0.03497030822886229,0.03949476859270431,0.03921198981996418,0.03638420209256292,0.024884532001131113,0.035630125365255914,0.03233103968328777,0.029031954001319634,0.02516731077387124,0.020171552455462344,0.016683947591667452,0.011499670091431803,0.005561315863889151,0.0017909322273541332,0.0002827787727401263
US,0.03318036981902735,0.033128083363064845,3.998376044191282e-05,0.033909304528622224,0.03568089268358697,0.035016547125475195,0.03378320189953619,0.03176863550803981,0.031245770948414797,0.032153094743058205,0.03270056469372439,0.03387239644206046,0.03287587810489278,0.028348486153316192,0.02325517020779253,0.016233406739416607,0.011198528597615737,0.007510795615319316,0.004432046061292029,0.0016639395691596028,0.00035370249621692113,0.03318036981902735,0.033128083363064845,3.998376044191282e-05,0.033909304528622224,0.03568089268358697,0.035016547125475195,0.03378320189953619,0.03176863550803981,0.031245770948414797,0.032153094743058205,0.03270056469372439,0.03387239644206046,0.03287587810489278,0.028348486153316192,0.02325517020779253,0.016233406739416607,0.011198528597615737,0.007510795615319316,0.004432046061292029,0.0016639395691596028,0.00035370249621692113
